,0,1,policy,action
446,1.0,-0.7,0,1
447,1.0,-0.7,1,0
448,1.0,-0.4,0,3
449,1.0,-0.4,1,1
450,1.0,0.8200000000000001,0,9
451,1.0,0.8200000000000001,1,7
452,1.0,-0.72,0,1
453,1.0,-0.72,1,0
454,1.0,-0.62,0,2
455,1.0,-0.62,1,0
456,1.0,-0.48,0,2
457,1.0,-0.48,1,1
458,1.0,0.72,0,8
459,1.0,0.72,1,7
460,0.6600000000000001,-0.52,0,4
461,0.6600000000000001,-0.52,1,2
462,1.0,0.98,0,9
463,1.0,0.98,1,7
464,0.56,0.06000000000000005,0,7
465,0.56,0.06000000000000005,1,5
466,0.6400000000000001,-0.05999999999999994,0,6
467,0.6400000000000001,-0.05999999999999994,1,4
468,0.6600000000000001,0.19999999999999996,0,7
469,0.6600000000000001,0.19999999999999996,1,5
470,0.6200000000000001,-0.31999999999999995,0,5
471,0.6200000000000001,-0.31999999999999995,1,3
472,0.6400000000000001,-0.36,0,5
473,0.6400000000000001,-0.36,1,3
474,0.6400000000000001,-0.62,0,3
475,0.6400000000000001,-0.62,1,1
476,0.6400000000000001,0.3400000000000001,0,8
477,0.6400000000000001,0.3400000000000001,1,6
478,0.6200000000000001,-0.52,0,4
479,0.6200000000000001,-0.52,1,2
480,0.8800000000000001,-0.24,0,4
481,0.8800000000000001,-0.24,1,2
482,1.0,-0.05999999999999994,0,5
483,1.0,-0.05999999999999994,1,3
484,1.0,-0.9,0,0
485,1.0,-0.9,1,0
486,1.0,0.5800000000000001,0,8
487,1.0,0.5800000000000001,1,6
488,1.0,0.26,0,6
489,1.0,0.26,1,4
490,1.0,0.74,0,8
491,1.0,0.74,1,7
492,1.0,-0.36,0,3
493,1.0,-0.36,1,1
494,1.0,-0.16000000000000003,0,4
495,1.0,-0.16000000000000003,1,2
496,1.0,0.48,0,7
497,1.0,0.48,1,5
498,1.0,0.32000000000000006,0,6
499,1.0,0.32000000000000006,1,4
500,0.8800000000000001,-0.24,0,4
501,0.8800000000000001,-0.24,1,2
502,1.0,0.96,0,9
503,1.0,0.96,1,7
504,0.5800000000000001,-0.4,0,5
505,0.5800000000000001,-0.4,1,3
506,0.6200000000000001,-0.6599999999999999,0,3
507,0.6200000000000001,-0.6599999999999999,1,1
508,0.6400000000000001,0.3600000000000001,0,8
509,0.6400000000000001,0.3600000000000001,1,6
510,0.6400000000000001,0.28,0,8
511,0.6400000000000001,0.28,1,6
512,0.6200000000000001,0.19999999999999996,0,8
513,0.6200000000000001,0.19999999999999996,1,6
514,0.6200000000000001,0.56,0,9
515,0.6200000000000001,0.56,1,7
516,0.6400000000000001,-0.6599999999999999,0,3
517,0.6400000000000001,-0.6599999999999999,1,1
518,0.6400000000000001,-0.21999999999999997,0,5
